route_id,service_id,trip_id,trip_headsign,trip_long_name,direction_code,shape_id,wheelchair_accessible
d02a3b6a37cc3d6cf79f612334291cbc,170129,1126381,KURESSAARE,(Tagaranna tellim)Mustjala-Randvere-Kuressaare,A>B,49916,0
cf469b9ef1646ab0cbc14d85ad5f65ff,170130,1126382,KURESSAARE,(Tagaranna tellimisel)Mustjala-Randvere-Kuressaare,A>B,49919,0
3ba5224fc1cc7561ebde70d30bd18add,170299,1473554,Tartu bussijaam,Alatskivi - Varnja - Koosa - Tartu,B>C>A,61559,0
4a65226dd63aa8ef7db29c8485922adb,170349,1473559,Tartu bussijaam,Sadala - Torma - Voore - Vedu - Tartu,B>C>A,61565,0
ee720f6c2e086f42efeb3a76678079be,170355,1473560,Tartu bussijaam,Sadala - Torma - Voore - Vedu - Tartu,B>C>A,61566,0
b2410bf76c98860a5a218a98b6927288,170477,1473565,Tartu bussijaam,Alatskivi - Varnja - Koosa - Tartu,B>C>A,60888,0
d7eed37b869c178e4286e6810f22ac7d,170527,1653248,Otepää,Saverna - Valgjärve - Otepää,A>B,27022,0
1108b278d2e6cdd02e852199cb06d5d7,170535,1187215,Raudteemuuseum,Pärnu - Audru - Lavassaare,A>B,44773,0
1108b278d2e6cdd02e852199cb06d5d7,170535,1187218,Raudteemuuseum,Pärnu - Audru - Lavassaare,A>B,44773,0
1108b278d2e6cdd02e852199cb06d5d7,170536,1187221,Raudteemuuseum,Pärnu - Audru - Lavassaare,A>B,44773,0
1108b278d2e6cdd02e852199cb06d5d7,170537,1187222,Lavassaare,Pärnu - Audru - Lavassaare,A>B,44773,0
1108b278d2e6cdd02e852199cb06d5d7,170535,1187216,Pärnu bussijaam,Lavassaare - Audru - Pärnu,B>A,50127,0
1108b278d2e6cdd02e852199cb06d5d7,170535,1187217,Pärnu bussijaam,Lavassaare - Audru - Pärnu,B>A,50127,0
1108b278d2e6cdd02e852199cb06d5d7,170535,1187219,Pärnu bussijaam,Lavassaare - Audru - Pärnu,B>A,50127,0
1108b278d2e6cdd02e852199cb06d5d7,170536,1187220,Pärnu bussijaam,Lavassaare - Audru - Savi - Pärnu,B>C>A,48389,0
7a87ffe296acdeb7d4a0c20b15d05391,170549,1821920,Pärnu bussijaam,Tõstamaa - Munalaiu - Liu - Audru kool - Pärnu,B>C1>A,47468,0
7a87ffe296acdeb7d4a0c20b15d05391,170549,1821919,Värati,Pärnu - Audru kool - Munalaiu - Tõstamaa,A>C1>B,44820,0
bb7d522fe2e08392bee90ff597a65993,170560,1627708,Uku,Mustla - Männimäe - Kantreküla - Viljandi,B>A1,49493,0
bd2349b592f03ec3f0e35b43f5d26619,170599,1131981,Kalda,Haapsalu - Sepaküla - Ahli - Mägari - Haapsalu,A>B1,49887,0
bd2349b592f03ec3f0e35b43f5d26619,170599,1131982,Haapsalu bussijaam,Haapsalu - Mägari - Ahli - Sepaküla - Haapsalu,B1>A,50523,0
bd2349b592f03ec3f0e35b43f5d26619,170604,1131983,Kalda,Haapsalu - Sepaküla - Ahli - Mägari - Haapsalu,A>B1,49887,0
bd2349b592f03ec3f0e35b43f5d26619,170609,1131984,Kalda,Haapsalu - Sepaküla - Ahli - Mägari - Haapsalu,A>B1,49887,0
bd2349b592f03ec3f0e35b43f5d26619,170621,1132117,Haapsalu bussijaam,Haapsalu - Mägari - Ahli - Sepaküla - Haapsalu,B1>A,50523,0
a36969682f104d6a804921a19ca3e81b,170803,1473569,Tartu bussijaam,Tartu - Tordi - Viira - Kavastu - Luunja kool - Tartu,A>C>A,61583,0
88e54df47313d10ba0ec68d311a95ae5,170804,1473570,Tartu bussijaam,Tartu - Kavastu - Sääsküla - Tartu,A>C>A,61584,0
6af5a3b5ec128c3592d971de29fc828d,170990,1665782,Lihula,Lihula - Matsalu - Saastna - Lihula,A>B,34195,0
106f568dd19698866677877bc4daf540,170991,1473574,Alatskivi,Tartu - Varnja - Nina - Kallaste - Kokora - Alatskivi,A>C>B,61528,0
6af5a3b5ec128c3592d971de29fc828d,170994,1665783,Lihula,Lihula - Saastna - Matsalu - Lihula,A>C>B,35033,0
43dd816670e948f82961b04f7ad6deb5,171005,1665784,Lihula,Lihula - Kõmsi kool - Massu - Metsküla kool - Lihula,A>B,39869,0
565f1080942798e6ff01a54c6bfee7a8,171023,1473577,Tartu bussijaam,Tartu - Luunja kool - Kavastu - Tammistu - Pilka - Tartu,A>C>A,61587,0
